Gender,Age,Academic Pressure,CGPA,Study Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
Male,29,3,8.74,4,'5-6 hours',Moderate,B.Ed,Yes,1,1,No,0
Male,29,3,6.73,3,'7-8 hours',Moderate,M.Tech,No,0,1,No,0
Female,25,3,5.57,3,'More than 8 hours',Unhealthy,MSc,Yes,10,5,No,1
Male,23,1,8.59,4,'7-8 hours',Healthy,BHM,No,11,3,No,0
Male,18,4,7.1,3,'More than 8 hours',Unhealthy,'Class 12',Yes,11,5,Yes,1
Female,20,5,8.58,5,'7-8 hours',Moderate,'Class 12',No,2,2,Yes,1
Male,31,2,6.08,5,'7-8 hours',Moderate,LLB,Yes,3,3,Yes,1
Male,25,3,7.25,3,'More than 8 hours',Unhealthy,M.Ed,Yes,10,5,No,1
Male,33,5,5.74,2,'Less than 5 hours',Moderate,M.Pharm,No,8,3,Yes,0
Male,28,3,9.86,3,'7-8 hours',Unhealthy,M.Pharm,Yes,11,2,No,1
Male,18,4,6.7,5,'Less than 5 hours',Moderate,'Class 12',Yes,5,4,Yes,1
Male,18,2,6.21,3,'5-6 hours',Unhealthy,'Class 12',Yes,4,2,No,1
Male,21,1,7.25,1,'Less than 5 hours',Healthy,MCA,Yes,7,2,No,0
Female,31,1,5.87,3,'7-8 hours',Healthy,PhD,No,8,4,Yes,0
Male,21,1,8.04,3,'More than 8 hours',Healthy,MA,No,0,3,Yes,0
Female,25,1,6.37,3,'7-8 hours',Moderate,B.Pharm,Yes,2,2,No,0
Female,21,5,9.72,2,'5-6 hours',Moderate,B.Com,Yes,0,4,Yes,1
Male,28,5,5.88,3,'7-8 hours',Unhealthy,BCA,Yes,9,1,Yes,0
Male,28,1,9.56,2,'7-8 hours',Unhealthy,MD,No,6,3,No,0
Male,25,3,6.51,4,'7-8 hours',Unhealthy,B.Pharm,Yes,3,4,No,1
Female,20,3,6.99,2,'7-8 hours',Moderate,'Class 12',Yes,11,5,Yes,1
Male,23,2,6.1,4,'5-6 hours',Unhealthy,MSc,Yes,10,1,Yes,0
Male,19,1,5.24,3,'5-6 hours',Healthy,'Class 12',Yes,2,1,No,0
Female,33,4,9.21,1,'Less than 5 hours',Unhealthy,MBA,Yes,10,5,Yes,1
Female,23,1,7.85,4,'More than 8 hours',Unhealthy,BE,No,12,5,No,0
Male,22,1,9.93,1,'7-8 hours',Unhealthy,B.Ed,No,10,1,No,0
Female,19,2,6.95,2,'Less than 5 hours',Healthy,'Class 12',Yes,2,3,Yes,0
Female,30,1,5.86,3,'Less than 5 hours',Healthy,BSc,No,1,4,Yes,0
Male,21,3,7.04,3,'Less than 5 hours',Unhealthy,MSc,No,1,5,Yes,0
Female,19,5,6.99,5,'More than 8 hours',Healthy,'Class 12',Yes,0,4,Yes,1
Male,23,3,7.92,3,'Less than 5 hours',Moderate,B.Com,No,10,4,Yes,0
Female,23,5,9.66,1,'7-8 hours',Healthy,BHM,Yes,12,5,Yes,1
Female,18,3,5.7,5,'5-6 hours',Unhealthy,'Class 12',Yes,11,4,No,1
Male,28,4,8.94,1,'7-8 hours',Unhealthy,M.Pharm,Yes,12,1,Yes,1
Male,24,2,8.04,3,'5-6 hours',Unhealthy,M.Tech,No,8,1,No,0
Female,33,1,9.71,1,'More than 8 hours',Healthy,B.Com,Yes,5,2,No,0
Female,20,3,8.04,2,'5-6 hours',Moderate,'Class 12',Yes,7,3,No,1
Male,23,5,7.87,1,'7-8 hours',Moderate,BSc,Yes,11,4,Yes,1
Male,23,5,5.74,1,'5-6 hours',Healthy,BA,Yes,11,4,Yes,1
Female,24,3,5.6,1,'Less than 5 hours',Healthy,MBBS,Yes,9,2,No,1
Male,25,5,9.21,1,'5-6 hours',Unhealthy,BSc,No,7,3,Yes,0
Female,24,4,7.9,3,'5-6 hours',Moderate,MBBS,Yes,3,5,No,1
Female,24,3,5.46,4,'7-8 hours',Moderate,BSc,Yes,10,5,No,1
Male,31,1,6.79,5,'More than 8 hours',Unhealthy,MCA,Yes,0,3,Yes,0
Male,20,5,8.7,4,'Less than 5 hours',Unhealthy,'Class 12',Yes,4,5,Yes,1
Male,21,2,7.38,5,'Less than 5 hours',Healthy,MA,Yes,2,5,No,1
Male,25,1,8.5,3,'7-8 hours',Moderate,BA,Yes,11,4,Yes,0
Male,19,2,7.09,4,'7-8 hours',Healthy,'Class 12',No,11,1,Yes,0
Female,34,3,9.82,3,'More than 8 hours',Healthy,MSc,Yes,12,5,No,0
Male,24,1,8.89,4,'5-6 hours',Healthy,M.Tech,No,10,2,No,0
Male,33,5,7.94,3,'Less than 5 hours',Moderate,B.Ed,No,8,1,No,0
Male,32,3,9.11,5,'7-8 hours',Moderate,MBBS,Yes,5,5,Yes,1
Male,18,3,6.75,4,'7-8 hours',Moderate,'Class 12',Yes,6,4,No,1
Female,31,1,7.53,4,'Less than 5 hours',Unhealthy,M.Com,Yes,7,1,Yes,0
Female,25,3,9.49,5,'7-8 hours',Healthy,BHM,No,9,2,No,0
Male,20,1,9.01,4,'5-6 hours',Unhealthy,'Class 12',No,3,3,No,0
Male,31,2,7.64,1,'7-8 hours',Unhealthy,MSc,No,0,1,Yes,0
Male,24,5,5.27,1,'7-8 hours',Unhealthy,MD,Yes,6,3,Yes,1
Male,24,5,8.74,2,'Less than 5 hours',Unhealthy,B.Pharm,Yes,8,4,No,1
Female,23,5,6.0,2,'5-6 hours',Healthy,MSc,No,0,3,Yes,1
Female,25,2,9.44,1,'More than 8 hours',Moderate,BSc,Yes,7,3,Yes,1
Male,25,2,5.75,3,'More than 8 hours',Unhealthy,BSc,Yes,5,5,Yes,1
Female,25,1,7.51,2,'More than 8 hours',Moderate,B.Arch,Yes,7,1,Yes,0
Female,28,2,6.37,1,'5-6 hours',Unhealthy,BE,Yes,4,5,No,1
Female,20,4,6.95,4,'More than 8 hours',Unhealthy,'Class 12',Yes,12,5,No,1
Female,24,1,7.1,5,'Less than 5 hours',Moderate,LLM,Yes,6,5,No,1
Male,23,1,9.66,4,'5-6 hours',Moderate,B.Tech,No,12,3,No,0
Male,19,3,9.05,1,'More than 8 hours',Moderate,'Class 12',No,1,5,No,1
Female,24,3,6.38,3,'Less than 5 hours',Healthy,MCA,No,11,4,Yes,1
Female,34,2,8.5,5,'More than 8 hours',Unhealthy,BSc,No,1,2,Yes,0
Female,25,2,7.09,4,'5-6 hours',Healthy,B.Arch,No,8,4,Yes,0
Male,28,1,8.97,2,'7-8 hours',Unhealthy,BBA,No,3,4,No,0
Female,27,3,8.95,1,'More than 8 hours',Healthy,BBA,Yes,4,4,Yes,1
Male,22,2,9.88,4,'More than 8 hours',Healthy,BSc,No,0,2,Yes,0
Male,27,4,6.75,1,'5-6 hours',Healthy,BHM,Yes,10,4,No,0
Female,34,3,5.32,3,'7-8 hours',Unhealthy,B.Tech,Yes,7,4,Yes,1
Male,22,4,6.27,4,'5-6 hours',Moderate,B.Com,Yes,10,3,No,1
Male,23,3,7.7,2,'More than 8 hours',Unhealthy,M.Com,No,11,3,Yes,0
Male,24,3,9.66,1,'Less than 5 hours',Healthy,M.Pharm,Yes,9,1,Yes,1
Male,21,5,8.1,1,'More than 8 hours',Moderate,B.Arch,Yes,9,3,No,1
Male,26,4,9.59,2,'Less than 5 hours',Unhealthy,BSc,No,11,5,Yes,1
Female,24,5,8.96,1,'5-6 hours',Moderate,BCA,Yes,12,5,No,1
Male,34,2,7.51,5,'Less than 5 hours',Moderate,MSc,No,7,1,Yes,0
Female,29,5,5.32,1,'Less than 5 hours',Unhealthy,ME,No,11,1,Yes,0
Male,33,1,8.95,3,'5-6 hours',Unhealthy,MBBS,Yes,10,3,No,1
Male,21,1,8.5,3,'5-6 hours',Healthy,BCA,Yes,10,3,Yes,1
Female,33,2,5.51,5,'Less than 5 hours',Unhealthy,BSc,Yes,12,1,No,1
Male,28,4,7.43,2,'More than 8 hours',Healthy,MBA,Yes,6,5,Yes,1
Male,27,2,8.79,1,'5-6 hours',Unhealthy,MCA,Yes,8,4,No,1
Male,33,2,9.95,4,'Less than 5 hours',Moderate,M.Tech,No,0,2,No,0
Female,18,5,9.79,5,'Less than 5 hours',Unhealthy,'Class 12',Yes,10,5,Yes,1
Female,20,5,5.37,4,'Less than 5 hours',Moderate,'Class 12',Yes,12,3,Yes,1
Female,19,3,6.86,4,'Less than 5 hours',Unhealthy,'Class 12',Yes,12,3,Yes,1
Male,21,5,7.83,1,'5-6 hours',Healthy,MSc,Yes,11,3,Yes,1
Male,32,2,8.32,1,'Less than 5 hours',Unhealthy,B.Tech,Yes,12,4,No,1
Male,32,3,5.51,2,'7-8 hours',Moderate,LLB,Yes,7,4,Yes,1
Male,33,3,9.74,1,'Less than 5 hours',Healthy,MD,No,5,1,Yes,0
Female,23,5,5.66,1,'Less than 5 hours',Unhealthy,MCA,Yes,11,4,No,1
Male,24,3,7.48,4,'Less than 5 hours',Unhealthy,M.Com,Yes,10,4,Yes,1
Female,20,4,8.89,3,'More than 8 hours',Unhealthy,'Class 12',Yes,6,4,No,1
Female,24,5,8.23,2,'Less than 5 hours',Moderate,B.Arch,Yes,4,3,Yes,1
Male,22,5,8.81,1,'Less than 5 hours',Unhealthy,MCA,No,8,1,Yes,1
Male,26,5,6.03,4,'More than 8 hours',Unhealthy,BCA,No,11,2,No,0
Female,18,5,9.44,4,'More than 8 hours',Unhealthy,'Class 12',Yes,3,5,No,1
Male,26,3,7.25,3,'7-8 hours',Unhealthy,MD,No,9,5,No,0
Male,33,1,5.56,1,'More than 8 hours',Unhealthy,MD,No,9,3,No,0
Female,19,3,5.68,1,'5-6 hours',Moderate,'Class 12',Yes,10,5,Yes,0
Male,26,3,5.14,3,'7-8 hours',Healthy,MSc,No,12,1,No,0
Female,34,3,7.61,2,'Less than 5 hours',Moderate,BE,Yes,3,4,No,0
Female,22,1,6.17,4,'7-8 hours',Healthy,BCA,No,10,5,No,1
Female,28,2,8.17,3,'Less than 5 hours',Unhealthy,B.Tech,No,7,4,Yes,1
Male,31,5,9.87,5,'Less than 5 hours',Unhealthy,LLB,No,12,2,No,0
Female,18,3,9.86,4,'More than 8 hours',Healthy,'Class 12',Yes,9,2,No,1
Male,32,2,9.21,3,'5-6 hours',Unhealthy,M.Tech,Yes,0,5,Yes,1
Female,19,3,5.46,4,'More than 8 hours',Unhealthy,'Class 12',Yes,11,5,No,1
Male,20,5,8.96,2,'More than 8 hours',Unhealthy,'Class 12',Yes,1,3,No,1
Male,28,2,7.94,2,'5-6 hours',Unhealthy,BCA,Yes,2,5,Yes,1
Male,19,2,8.58,4,'Less than 5 hours',Healthy,'Class 12',Yes,10,4,No,1
Male,34,3,8.5,1,'More than 8 hours',Moderate,B.Tech,No,3,1,No,0
Male,20,3,8.74,5,'Less than 5 hours',Unhealthy,'Class 12',Yes,6,2,No,1
Male,18,1,5.14,5,'More than 8 hours',Moderate,'Class 12',No,12,2,No,0
Female,29,3,8.75,5,'7-8 hours',Moderate,BCA,No,10,5,No,1
Male,24,1,9.71,4,'Less than 5 hours',Moderate,M.Tech,No,1,1,No,0
Male,33,4,7.25,3,'5-6 hours',Healthy,BSc,Yes,1,5,No,0
Male,34,1,6.16,4,'Less than 5 hours',Moderate,B.Tech,Yes,10,4,No,0
Female,29,1,9.5,2,'7-8 hours',Moderate,B.Com,No,9,2,No,0
Male,27,4,7.99,2,'5-6 hours',Unhealthy,B.Com,Yes,10,2,Yes,1
Female,31,3,9.86,2,'Less than 5 hours',Unhealthy,MD,Yes,9,1,Yes,1
Male,30,5,5.67,3,'Less than 5 hours',Moderate,B.Tech,Yes,4,1,No,1
Female,31,4,8.92,2,'Less than 5 hours',Moderate,MA,No,8,2,No,0
Male,26,2,6.19,5,'5-6 hours',Healthy,B.Arch,Yes,12,3,Yes,0
Male,21,4,5.76,1,'Less than 5 hours',Unhealthy,B.Ed,Yes,9,4,Yes,1
Female,34,3,5.9,3,'Less than 5 hours',Moderate,B.Ed,Yes,3,1,No,0
Male,24,1,5.74,2,'More than 8 hours',Moderate,B.Com,No,11,1,No,0
Male,21,3,8.04,2,'5-6 hours',Unhealthy,B.Com,Yes,9,3,Yes,1
Female,31,5,6.25,2,'5-6 hours',Unhealthy,B.Tech,Yes,9,3,No,1
Male,20,5,5.11,4,'More than 8 hours',Unhealthy,'Class 12',Yes,11,5,No,1
Male,34,4,7.94,3,'5-6 hours',Moderate,LLM,No,12,1,No,0
Female,30,4,5.58,5,'Less than 5 hours',Healthy,M.Com,Yes,4,3,Yes,1
Male,30,1,5.65,5,'7-8 hours',Unhealthy,M.Ed,Yes,12,4,Yes,0
Male,20,5,9.72,1,'5-6 hours',Healthy,'Class 12',Yes,11,2,No,1
Female,22,1,9.89,1,'7-8 hours',Moderate,B.Com,Yes,12,3,Yes,0
Male,18,5,5.37,4,'More than 8 hours',Healthy,'Class 12',Yes,9,2,Yes,1
Female,27,3,5.59,4,'Less than 5 hours',Healthy,PhD,Yes,6,5,Yes,1
Male,26,5,5.37,3,'7-8 hours',Moderate,BE,Yes,10,2,Yes,1
Male,24,5,5.7,5,'7-8 hours',Healthy,B.Pharm,Yes,5,3,Yes,1
Female,28,2,8.95,4,'5-6 hours',Healthy,BSc,Yes,2,5,Yes,1
Female,24,3,8.74,2,'7-8 hours',Unhealthy,B.Arch,Yes,0,4,Yes,1
Female,32,1,8.03,3,'5-6 hours',Unhealthy,BA,Yes,4,4,No,1
Female,21,5,5.75,1,'7-8 hours',Healthy,MBBS,Yes,11,4,No,1
Male,19,3,6.61,5,'7-8 hours',Moderate,'Class 12',No,12,1,Yes,0
Female,24,2,9.41,4,'7-8 hours',Moderate,M.Ed,No,11,1,Yes,0
Female,26,1,5.68,4,'7-8 hours',Healthy,B.Arch,No,8,5,No,0
Female,20,2,8.64,3,'More than 8 hours',Unhealthy,'Class 12',No,4,3,Yes,0
Male,19,3,7.21,5,'Less than 5 hours',Moderate,'Class 12',Yes,8,3,Yes,1
Male,32,4,7.92,2,'More than 8 hours',Moderate,MBBS,Yes,7,2,No,0
Female,23,5,5.74,2,'5-6 hours',Moderate,B.Ed,Yes,2,3,No,0
Female,23,4,8.28,1,'Less than 5 hours',Moderate,M.Tech,Yes,10,3,No,1
Male,29,3,8.59,2,'7-8 hours',Moderate,MCA,No,8,5,Yes,1
Female,29,3,6.04,4,'7-8 hours',Moderate,B.Ed,No,8,2,Yes,0
Female,27,1,9.13,2,'7-8 hours',Unhealthy,MA,Yes,4,4,No,0
Female,33,5,8.08,4,'More than 8 hours',Moderate,'Class 12',No,9,1,Yes,1
Female,33,2,8.5,1,'More than 8 hours',Unhealthy,MSc,Yes,8,2,Yes,1
Male,31,4,8.38,5,'Less than 5 hours',Moderate,LLB,No,12,2,No,0
Male,25,4,9.44,4,'7-8 hours',Moderate,B.Ed,Yes,10,5,Yes,1
Female,29,1,9.96,5,'Less than 5 hours',Healthy,LLM,No,6,4,Yes,0
Female,18,4,8.04,4,'More than 8 hours',Healthy,'Class 12',Yes,11,4,Yes,1
Female,18,1,5.12,5,'7-8 hours',Healthy,'Class 12',Yes,7,4,Yes,0
Male,22,1,7.64,3,'Less than 5 hours',Moderate,MSc,Yes,11,4,No,1
Male,24,5,8.04,1,'5-6 hours',Moderate,BSc,Yes,5,4,Yes,1
Male,24,3,9.44,5,'7-8 hours',Unhealthy,B.Ed,Yes,11,5,No,1
Male,30,4,8.35,5,'7-8 hours',Unhealthy,'Class 12',No,11,2,Yes,0
Male,33,3,7.07,5,'5-6 hours',Moderate,PhD,No,7,1,Yes,0
Male,34,1,9.6,3,'More than 8 hours',Healthy,M.Tech,No,8,3,Yes,0
Male,32,4,6.08,1,'7-8 hours',Moderate,MCA,Yes,7,1,No,1
Male,33,2,9.54,3,'7-8 hours',Healthy,MA,No,11,4,Yes,0
Female,20,5,6.17,2,'More than 8 hours',Healthy,'Class 12',Yes,7,5,Yes,1
Female,25,2,9.95,1,'More than 8 hours',Unhealthy,B.Pharm,Yes,10,5,No,1
Male,24,5,9.05,2,'7-8 hours',Healthy,B.Tech,Yes,8,4,Yes,1
Male,23,4,9.24,2,'Less than 5 hours',Healthy,B.Com,Yes,7,2,No,1
Female,30,1,8.54,3,'Less than 5 hours',Moderate,M.Ed,No,12,1,Yes,0
Male,22,1,7.25,5,'7-8 hours',Unhealthy,BE,Yes,9,5,Yes,1
Male,23,5,8.78,1,'5-6 hours',Unhealthy,B.Com,Yes,6,3,Yes,1
Male,31,1,9.71,1,'More than 8 hours',Moderate,M.Tech,Yes,2,3,Yes,1
Male,20,1,8.13,1,'Less than 5 hours',Unhealthy,'Class 12',No,10,1,Yes,0
Male,20,2,8.93,2,'5-6 hours',Unhealthy,'Class 12',Yes,10,5,Yes,1
Male,32,5,9.66,1,'5-6 hours',Unhealthy,BSc,Yes,4,4,No,1
Female,22,4,5.56,2,'Less than 5 hours',Unhealthy,BHM,Yes,8,4,No,1
Female,27,3,8.91,1,'Less than 5 hours',Unhealthy,BSc,No,7,1,No,0
Female,18,3,6.16,5,'7-8 hours',Moderate,'Class 12',Yes,5,4,Yes,0
Female,28,4,9.04,2,'7-8 hours',Moderate,B.Com,Yes,2,1,No,1
Female,22,3,6.83,1,'Less than 5 hours',Healthy,BCA,Yes,4,5,No,1
Female,20,5,7.7,1,'7-8 hours',Unhealthy,'Class 12',Yes,9,3,No,1
Male,20,3,5.67,2,'More than 8 hours',Unhealthy,'Class 12',Yes,12,5,No,1
Male,30,1,6.51,3,'7-8 hours',Unhealthy,BHM,No,7,2,Yes,0
Male,18,1,6.21,5,'More than 8 hours',Moderate,'Class 12',No,6,4,Yes,0
Female,26,4,8.28,3,'7-8 hours',Unhealthy,MBBS,Yes,10,1,No,1
Male,34,1,9.74,3,'More than 8 hours',Moderate,B.Ed,No,12,1,No,0
Male,20,5,9.6,5,'7-8 hours',Healthy,'Class 12',Yes,12,3,No,1
Male,20,2,6.25,3,'5-6 hours',Unhealthy,'Class 12',Yes,2,1,No,0
Female,33,3,7.1,4,'More than 8 hours',Healthy,B.Pharm,No,6,3,No,0
Female,20,3,5.85,2,'7-8 hours',Unhealthy,'Class 12',No,8,5,Yes,1
Female,28,2,9.24,5,'7-8 hours',Moderate,M.Ed,Yes,4,4,No,1
Female,26,4,7.74,1,'Less than 5 hours',Moderate,MCA,Yes,0,5,Yes,1
Male,25,3,6.41,3,'7-8 hours',Moderate,M.Ed,Yes,9,5,No,1
Female,28,5,7.1,2,'7-8 hours',Healthy,MBBS,Yes,2,2,Yes,0
Female,29,5,8.9,3,'Less than 5 hours',Moderate,BE,No,4,5,Yes,1
Male,34,3,9.6,4,'Less than 5 hours',Healthy,M.Tech,No,12,3,Yes,0
Female,29,2,5.88,3,'Less than 5 hours',Healthy,M.Com,No,0,2,No,1
Female,28,1,6.16,3,'Less than 5 hours',Moderate,BHM,No,5,2,Yes,0
Female,33,1,9.72,5,'Less than 5 hours',Moderate,BHM,No,4,5,Yes,0
Male,18,5,6.19,1,'7-8 hours',Moderate,'Class 12',Yes,4,2,No,1
Male,19,5,7.75,1,'5-6 hours',Healthy,'Class 12',Yes,10,4,Yes,1
Female,27,3,7.88,1,'More than 8 hours',Unhealthy,BBA,Yes,10,1,Yes,1
Female,29,1,6.83,3,'Less than 5 hours',Healthy,BE,No,12,1,No,0
Female,18,5,5.42,5,'7-8 hours',Unhealthy,'Class 12',Yes,9,2,Yes,1
Male,27,5,7.52,5,'Less than 5 hours',Healthy,LLB,No,12,5,Yes,1
Male,34,2,7.68,5,'7-8 hours',Moderate,'Class 12',No,5,1,No,0
Female,19,1,5.85,4,'7-8 hours',Moderate,'Class 12',No,5,5,Yes,0
Female,30,5,7.88,3,'5-6 hours',Unhealthy,B.Ed,Yes,1,1,No,1
Female,25,3,8.4,4,'More than 8 hours',Healthy,BHM,No,1,2,Yes,0
Female,20,5,8.95,3,'Less than 5 hours',Moderate,'Class 12',Yes,7,1,No,1
Female,20,5,8.9,2,'Less than 5 hours',Moderate,'Class 12',Yes,6,5,Yes,1
Female,20,5,7.64,1,'Less than 5 hours',Unhealthy,'Class 12',Yes,10,4,No,1
Female,29,2,9.39,4,'5-6 hours',Unhealthy,BSc,No,0,2,Yes,0
Male,24,1,6.84,2,'Less than 5 hours',Moderate,B.Pharm,No,7,1,Yes,0
Male,34,3,5.11,2,'Less than 5 hours',Unhealthy,M.Pharm,Yes,6,3,Yes,0
Male,31,2,8.04,3,'7-8 hours',Moderate,B.Ed,No,2,1,Yes,0
Male,23,2,8.64,4,'Less than 5 hours',Unhealthy,M.Com,No,1,4,No,0
Female,25,2,5.99,1,'5-6 hours',Unhealthy,BHM,Yes,11,2,Yes,1
Female,24,4,8.59,2,'5-6 hours',Unhealthy,B.Arch,Yes,8,5,No,1
Female,25,2,9.39,2,'5-6 hours',Moderate,LLB,No,8,1,No,0
Male,23,3,6.99,1,'5-6 hours',Healthy,B.Arch,No,7,1,No,0
Male,21,5,6.83,4,'7-8 hours',Healthy,MCA,Yes,10,1,Yes,1
Male,22,1,7.09,3,'5-6 hours',Moderate,MBA,Yes,6,1,Yes,0
Male,33,2,8.62,4,'More than 8 hours',Moderate,BCA,Yes,0,2,No,0
Male,24,4,9.54,2,'Less than 5 hours',Unhealthy,MBA,Yes,5,1,No,1
Female,25,4,8.53,3,'Less than 5 hours',Healthy,BA,No,2,1,No,0
Male,33,3,7.1,3,'Less than 5 hours',Moderate,LLB,No,4,1,Yes,0
Male,27,1,7.47,1,'Less than 5 hours',Moderate,BHM,Yes,12,1,No,0
Female,31,3,9.93,3,'More than 8 hours',Healthy,B.Ed,No,12,2,No,0
Female,19,5,6.78,5,'More than 8 hours',Healthy,'Class 12',Yes,7,5,No,1
Male,29,4,9.59,3,'More than 8 hours',Moderate,B.Ed,Yes,11,4,Yes,1
Male,23,3,9.93,1,'7-8 hours',Moderate,MBA,Yes,9,5,No,1
Male,25,1,7.52,4,'Less than 5 hours',Moderate,MBBS,No,0,2,No,0
Male,34,3,6.42,2,'5-6 hours',Moderate,M.Pharm,Yes,4,5,Yes,1
Male,18,5,8.35,1,'More than 8 hours',Unhealthy,'Class 12',Yes,12,5,No,1
Male,29,2,6.08,4,'7-8 hours',Healthy,MBA,No,6,3,No,0
Female,25,3,7.1,1,'Less than 5 hours',Healthy,MBBS,Yes,11,4,Yes,1
Male,29,3,9.95,4,'5-6 hours',Unhealthy,LLB,Yes,10,1,No,1
Male,28,3,9.74,5,'Less than 5 hours',Healthy,MBBS,No,11,2,Yes,0
Female,31,2,9.92,3,'5-6 hours',Unhealthy,B.Com,Yes,3,1,No,0
Male,30,3,8.39,3,'Less than 5 hours',Unhealthy,M.Com,Yes,5,3,No,1
Male,24,5,8.96,4,'5-6 hours',Healthy,LLM,Yes,11,5,No,1
Male,26,4,8.95,4,'5-6 hours',Unhealthy,B.Ed,Yes,7,4,Yes,1
Female,29,2,5.89,2,'5-6 hours',Moderate,MCA,Yes,10,2,No,1
Male,22,3,5.76,4,'7-8 hours',Unhealthy,M.Com,Yes,10,1,No,1
Female,31,4,6.0,5,'5-6 hours',Moderate,M.Ed,No,10,2,Yes,1
Female,29,4,5.58,4,'Less than 5 hours',Moderate,MBA,Yes,4,1,Yes,1
Female,18,4,7.22,5,'More than 8 hours',Healthy,'Class 12',No,10,2,No,0
Female,27,5,6.81,2,'7-8 hours',Unhealthy,M.Ed,No,10,2,Yes,0
Male,32,3,9.02,5,'7-8 hours',Moderate,MBBS,Yes,8,1,Yes,1
Male,30,2,8.23,2,'More than 8 hours',Healthy,MD,No,0,2,No,0
Male,26,4,9.88,1,'5-6 hours',Healthy,BBA,No,7,2,Yes,1
Male,28,4,7.52,1,'More than 8 hours',Unhealthy,BE,Yes,9,4,Yes,1
Male,28,4,9.11,4,'5-6 hours',Moderate,BHM,No,7,1,Yes,0
Female,25,2,9.54,4,'7-8 hours',Healthy,BHM,No,9,1,No,0
Female,33,2,8.58,4,'Less than 5 hours',Healthy,'Class 12',No,9,3,No,0
Male,24,5,9.6,4,'7-8 hours',Moderate,M.Pharm,No,8,3,No,0
Female,22,2,9.54,3,'More than 8 hours',Healthy,BBA,Yes,10,3,No,1
Male,34,1,9.97,5,'More than 8 hours',Moderate,BCA,No,0,5,No,0
Male,29,3,9.63,3,'7-8 hours',Moderate,M.Pharm,No,8,5,No,0
Male,32,2,8.95,5,'Less than 5 hours',Moderate,M.Tech,Yes,5,1,No,0
Female,31,5,9.39,5,'Less than 5 hours',Moderate,'Class 12',No,1,1,Yes,1
Male,28,2,5.7,5,'Less than 5 hours',Unhealthy,BCA,Yes,11,4,Yes,1
Male,30,5,7.7,5,'5-6 hours',Moderate,B.Com,Yes,12,2,Yes,1
Female,26,1,9.67,3,'Less than 5 hours',Unhealthy,'Class 12',No,1,5,No,0
Male,19,4,9.41,2,'More than 8 hours',Healthy,'Class 12',No,12,5,Yes,1
Female,21,5,8.35,1,'More than 8 hours',Healthy,BSc,Yes,12,4,Yes,1
Male,22,4,6.78,3,'Less than 5 hours',Unhealthy,B.Com,Yes,10,2,No,1
Male,23,4,6.37,2,'Less than 5 hours',Moderate,B.Com,No,11,5,Yes,1
Female,25,2,5.64,1,'Less than 5 hours',Moderate,B.Ed,Yes,12,4,Yes,1
Female,24,3,6.99,4,'More than 8 hours',Moderate,'Class 12',Yes,9,1,Yes,0
Female,18,3,5.41,3,'7-8 hours',Moderate,'Class 12',Yes,7,4,Yes,1
Female,19,5,6.41,3,'Less than 5 hours',Moderate,'Class 12',Yes,10,5,Yes,1
Female,30,3,7.27,3,'7-8 hours',Moderate,BA,No,12,2,No,0
Female,20,5,5.99,3,'7-8 hours',Moderate,'Class 12',No,4,5,No,1
Male,20,3,9.93,2,'7-8 hours',Moderate,'Class 12',Yes,2,4,No,1
